mars,jupiter,sum,mean,std,len,amax,amin,planet_a,planet_b,instrument
7.0,11.0,-1.6867752394304936,-0.03442398447817334,1.0899499998796196,49.0,2.130705743641581,-2.028963869811873,mars,jupiter,sensex
7.0,12.0,8.657381837299674,0.1518838918824504,1.3885695224594763,57.0,3.7721592387170766,-3.146478231225136,mars,jupiter,sensex
8.0,1.0,8.401209602667237,0.10371863706996588,1.1667773619100483,81.0,4.358082207937719,-4.131658726721521,mars,jupiter,sensex
8.0,2.0,26.66414229193244,0.2962682476881382,1.4631321598710847,90.0,4.5461697789052735,-3.4549954164616814,mars,jupiter,sensex
8.0,3.0,-18.426980138458497,-0.20029326237454886,1.3518068719930034,92.0,4.2285924630745875,-5.822110596284579,mars,jupiter,sensex
8.0,4.0,-6.852507996265242,-0.16315495229202956,1.1783117191292574,42.0,2.6819072984870296,-1.9298268197655455,mars,jupiter,sensex
8.0,5.0,-5.157198145622167,-0.07162775202253009,1.5959783466003568,72.0,3.53556726811064,-4.853728750864428,mars,jupiter,sensex
8.0,6.0,-19.88947865170838,-0.28825331379287505,2.632497209907598,69.0,11.170404066913564,-9.756582506103717,mars,jupiter,sensex
8.0,7.0,12.39505116436371,0.26945763400790673,1.8339882495780548,46.0,4.82319456916398,-5.63442914234561,mars,jupiter,sensex
8.0,8.0,9.69573800546155,0.11274113959839012,1.538484355868014,86.0,5.942059811970912,-4.066474474147119,mars,jupiter,sensex
8.0,9.0,17.11495601880418,0.335587372917729,1.2779638598782566,51.0,2.99839959833057,-2.5511779975684434,mars,jupiter,sensex
8.0,10.0,12.326253930507093,0.2934822364406451,1.3999399477246797,42.0,4.171453151166116,-2.3316545211117035,mars,jupiter,sensex
8.0,11.0,1.173921988189075,0.017786696790743562,1.1658341081199255,66.0,2.591556731834843,-4.145064454600156,mars,jupiter,sensex
8.0,12.0,10.43104766162688,0.16298511971292,1.569056670154523,64.0,5.5363653086713205,-4.724416712105251,mars,jupiter,sensex
